,index,Unnamed: 0,Nom,Description_type,Prix_Originel,Prix_Reduc,Voyageurs,Chambres,Lits,Salles_de_Bain,Note,Nb_com,Logement_Entier,Arrivée_irréprochable,Hôte_expérimenté,Excellente_communication,Accueil_unique,Parfaitement_propre,Propre et rangé,Idéalement_situé,Annulation_gratuite_pendant_48_heures,Annulation_gratuite_longue,Arrivée_autonome,Superhost_list,Wi-Fi,WiFi_portable,lave_linge, Espace_travail_ordi,Equipement_base,Chauffage,Fer_à_Repasser,Télévision,Eau_chaude,Table_à_langer,Chaise_haute,Lit_pour_bébé,Livres_et_jouets_pour_enfants,Parking_payant,Parking_gratuit,Chargeur_EV,Salle_de_sport,Jacuzzi,Ascenseur,Piscine,Cuisine,Réfrigérateur,Vaisselle_et_couverts,Four_à_micro_ondes,Petit_déjeuner,four,Lave_vaisselle,Cafetière,Cuisinière,Ustensiles_de_cuisine_de_base,Acceuil_Personnel,Entrée_privée,Salon_privé,Boîte_à_clé_sécurisée,Clés_remises_par_hôte,Jardin,Sèche_cheveux,Cintres,Shampooing,Gel_douche,Oreillers_et_couvertures,Draps,Porte_de_la_chambre_avec_verrou,Dépôt_de_bagages_autorisé,Séjours_longue_durée_autorisé,Détecteur_de_fumée,Détecteur_de_monoxyde_de_carbone,Extincteur,Kit_de_premiers_secours,Fête,Fumeur,Animaux,Bébés,Nb_équipement,Description,Lien
0,0,0,112 - Urban Atelier Saint Michel,Vous aurez le logement (appartement) rien que pour vous.,60€,60€,5 voyageurs,1 chambre,3 lits,1 salle de bain,"4,67",(12),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Afficher les 18 équipements,"Cet ancien atelier de bijouterie de luxe a été entièrement rénové en un luxueux 2 pièces avec son séjour comportant un canapé lit pour 2 personnes et une chambre avec un lit double grand confort complété par un canapé lit d appoint.

Le logement
Cet ancien atelier de bijouterie de luxe a été entièrement rénové en un luxueux 2 pièces avec son séjour comportant un canapé lit pour 2 personnes et une chambre avec un lit double grand confort complété par un canapé lit d appoint.


Cuisine aménagée


Salle d'eau avec wc


Wifi


Vous êtes au centre du Paris Historique dans la quartier le plus sécure


Vous pourrez visiter les principaux monuments à pieds


Thermes Romains 1 min


Quai de Seine 3 min


Ile de la cité 5 min


Notre de Dame de Paris


5 min


Musée du Louvres 10 min


Panthéon 5 min





Afin de vous accueillir dans les meilleures conditions sanitaires possibles , nos appart’hotels sont minutieusement nettoyés et désinfectés


Dès votre arrivée, l’ équipe d’Urban Flat in Paris met à votre disposition masques norme Afnor, gants, gel hydroalcoolique, lingettes désinfectantes et savon.

Autres remarques
Services extra (optionnels):

- Climatisation:
Prix: inclus dans la réservation.

- Chauffage:
Prix: inclus dans la réservation.

- Bagagerie:
Prix: 4 € par réservation.
Unités disponibles: 20.

- Lit bébé:
Prix: 17 € par réservation.

- Ménage complet de mi-séjour:
Prix: 127 € par réservation.
Unités disponibles: 10.

- Menage partiel de mi-séjour:
Prix: 90 € par réservation.
Unités disponibles: 10.

- Arrivée en dehors des heures d'ouverture:
Prix: inclus dans la réservation.

- Chaise Haute:
Prix: 17 € par réservation.

Numéro d'enregistrement
7510504284279",https://www.airbnb.fr/rooms/41163424/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208574_%2FUo6oeGTENGQ8qye&guests=1
1,1,0,A spacious studio renovated for 4 people,Vous aurez le logement (appartement) rien que pour vous.,58€,50€,4 voyageurs,Studio,2 lits,1 salle de bain,"4,25",(28),1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,Afficher les 13 équipements,"A Spacious studio renovated with a double bed and sofa bed and a bathroom with toilet.
Close to Opera, Galleries Lafayette, restaurants, shops,...

Le logement
Studio
Max num of people:4
Beds: 1 Double & sofa
Shower:1
Toilets:1
Floor:2
Elevator
Amentities
Kitchen TV WIFI heating
Linen and towels

Numéro d'enregistrement
7510201751276",https://www.airbnb.fr/rooms/24761772/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208585_PHXHl5pc5G58zULk&guests=1
2,2,0,☀️Chaleureux T2 au pied de Montmartre ☀️ Palmier,Vous aurez le logement (appartement) rien que pour vous.,68€,60€,4 voyageurs,1 chambre,2 lits,1 salle de bain,"4,71",(73),1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,Afficher les 28 équipements,"Venez découvrir mon grand T2 (35m2) au coeur de Paris. Il est situé dans le 18 ème, près de Montmartre et à deux pas du Moulin Rouge.
Cet appartement peut accueillir jusqu'à 4 personnes, il est au 1er étage (avec un grand ascenseur) et est très bien équipé.
Ce logement est entouré de boutiques pour faire du shopping, de boulangeries, d'épicerie mais aussi de restaurants et de bars... N'hésitez plus !

Le logement
Le logement est composé :

🌼 d'une cuisine équipée ( Four/Four à micro-onde, Réfrigérateur avec espace congélation, plaque de cuisson à induction, d'un lave vaisselle, machine à Expresso, bouilloire, presse agrume électrique, batteur électrique, grille-pain et tout le nécéssaire pour cuisiner comme si vous étiez chez vous....) avec une table à rallonge,

🌼 d'un salon avec un canapé lit (140x190),

🌼 d'une chambre avec un grand lit (160x200),

🌼 d'une vaste salle de douche avec WC.

L'appartement est équipé du chauffage ainsi que de la climatisation.

Les voyageurs auront accès à un WIFI Haut débit (fibre optique) et à la télévision (une dans la chambre et une dans le salon).

Vous avez la possibilité de louer un lit parapluie si besoin. 👶🍼

Pour votre sécurité des détecteurs de fumée y sont installés.

🥐☕️🥞 Un petit-déjeuner peut vous être livré tous les jours (sur commande avant votre arrivée) 🥞☕️🥐

Accès des voyageurs
Les voyageurs auront accès à l'ensemble du logement.

Autres remarques
Pour les voyageurs souhaitant arriver après 20h00 je leur demanderai une participation supplémentaire de 24€ à donner à un ami qui se déplacera, vous remettra les clés et vous fera visiter l'appartement.

Numéro d'enregistrement
7511802382227",https://www.airbnb.fr/rooms/28303033/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208594_iiF0H07KanV59Dpk&guests=1
3,3,0,Edgar Suites - Cosy Appartement pour 4 personnes,Vous aurez le logement (appartement avec services hôteliers) rien que pour vous.,78€,78€,4 voyageurs,1 chambre,2 lits,1 salle de bain,"4,85",(47),1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,Afficher les 32 équipements,"À deux pas de la Porte de Versailles, Edgar Suites Thoreton propose différentes catégories de suites et appartements pensés et agencés pour offrir aux locataires un confort absolu.
Ouvert en mars 2018, Edgar Suites Thoreton est à 7 minutes à pied du Parc des Expositions Paris Versailles et de l’hôpital Georges Pompidou.
Le métro Lourmel (ligne 8) n’est qu’à 3 minutes à pied et dessert notamment la Tour Eiffel, les Invalides, Champs Elysées, Opéra Garnier,Bastille.

Le logement
A deux pas de Paris Expo Porte de Versailles (7minutes à pied). Il se trouve aussi à proximité du Palais des Congrès et de l’hôpital Georges Pompidou.
Ouvert en Mars 2018, Edgar Suites Thoreton propose différentes catégories d’appartements pensés et agencés pour offrir aux locataires un confort absolu.
Chaque appartement possède un système innovant de chauffage-climatisation central.
Les prestations proposées sont la parfaite alliance entre un boutique-hôtel avec services et un pied-à- terre parisien confortable, décoré avec soin.
L'immeuble dispose d'un système de surveillance 24h/7j.
Vous y retrouverez une propreté digne d’un hôtel, une excellente literie, de nombreux rangements, du linge de maison et serviettes de qualité, des produits de toilettes et un équipement complet de cuisine et électroménager (Machine Nespresso avec capsules, bouilloire avec sachets de thé, micro-ondes, lave-vaisselle, grille-pain…)

L'appartement possède un réseau wifi optimal propre à l’appartement, une smart TV et un système performant de chauffage et climatisation.
Ils disposent également de prises à port USB et d’adaptateurs universels.
Le métro Lourmel (ligne 8) n’est qu’à 4 minutes à pied et dessert notamment le Champ de Mars, les Invalides, la Madeleine, l’Opéra Garnier, les Grands Boulevards et le Marais.

Accès des voyageurs
Les voyageurs auront accès à l'intégralité du logement.

Autres remarques
Nous pouvons vous mettre en relation avec un service de chauffeurs professionnels qui facilitera votre transfert gare ou aéroport pour un prix inférieur à celui d'un taxi parisien.

Numéro d'enregistrement
7511502342223",https://www.airbnb.fr/rooms/23958802/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208602_oCA4tmC4qj63nY8q&guests=1
4,4,0,Best location near the Arc de Triomphe (2065),Vous aurez le logement (appartement) rien que pour vous.,65€,65€,5 voyageurs,1 chambre,3 lits,1 salle de bain,,,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,Afficher les 28 équipements,"Élégant et confortable appartement parisien du XVIIème arrondissement.
A seulement quelques pas se trouve l'Arc de Triomphe, de l'Église de la Madeleine ou encore le parc Monceau ainsi que les fameuses "" Galeries Lafayette "".

Le logement
Totalement équipé, cet appartement peut accueillir jusqu'à 5 personnes.
Calme, agréable et confortable, il conviendra parfaitement à ce que vous cherchez.

L'appartement contient :
1 chambre avec un lit de taille Queen
1 salon avec un canapé convertible pour deux, ainsi qu' un fauteuil convertible en un lit pour une personne
1 salle de bain avec douche et WC
Les clients ont accès à tous les équipements de l'appartement.

Accès des voyageurs
Équipements :
- 1 chambre avec 1 lit pour 2 personnes(160 par 200)
- 1 belle salle de bain avec douche et toilettes
Une cuisine entièrement équipée : lave-linge, Plaques vitrocéramique, Réfrigérateur, Bouilloire, Grille-pain, Une machine à café Nespresso, Assiettes, verres, couverts, casseroles et autres ustensiles de cuisine.
Un salon avec un confortable canapé convertible en lit pour 2 personnes (140 par 200) (vrai lit avec un matelas) et un fauteuil convertible avec un vrai matelas pour 1 personne.

- Des rangements, des cintres,
- Un fer et une table à repasser
- Un sèche-cheveux

Cet appartement est équipé d'un accès internet Wi-Fi haut débit illimité ainsi qu'une TV.

Autres remarques
Les draps et les serviettes sont fournis. Le ménage est assuré par un personnel professionnel à l'arrivée et au départ.

Si vous avez un enregistrement tardif, après 22h00, il vous sera demandé un supplément de 10 euros à remettre à la personne qui vous remettra les clés de l'appartement (20 euros après minuit)

Si vous souhaitez un lit bébé, une chaise haute pour bébé à votre disposition dans l'appartement, je vous remercie de me le rappeler au moins 48h avant votre arrivée.

Avant de quitter l'appartement, assurez-vous de ne pas laisser les clés dans la serrure car cela bloquerait l'ouverture de la porte de l'extérieur. Attention, si vous laissez les clefs de l'appartement sur la porte ou à l'intérieur de l'appartement, vous serez facturé de 100 €.

Aucun shooting photos, ni tournage ne sont acceptés en Réservation immédiate (ou directe), il vous faut ma pré-approbation au préalable (mon accord).

Numéro d'enregistrement
7 511 704 338 684",https://www.airbnb.fr/rooms/41018533/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208611_JD0nBor%2FQteMjiIh&guests=1
5,5,0,4p Charming & cozy apartment for a delightful stay,Vous aurez le logement (appartement) rien que pour vous.,86€,60€,4 voyageurs,1 chambre,2 lits,"1,5 salle de bain","4,55",(73),1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,Afficher les 22 équipements,"Charming and cosy apartment newly renovated & recently furnished at a very exciting Paris area. You'll get a chance walk by the Seine, be around Hotel Accord Arena & their wonderful shows, take a glance at Bercy, Nation & many other well-known sites as well as merchants, restaurants & bars. It's the perfect to discover and enjoy Paris.

Le logement
The apartment is located at the lobby floor of a residential building.
Its displays is as follows:
- A great living room with a sofa bed
- 1 bedroom with Queen Size bed
- 1 bathroom
- Furnished kitchen
- Fresh linen

Numéro d'enregistrement
7511202709025",https://www.airbnb.fr/rooms/33082947/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208619_q%2F%2FFm5Il2QF3o4lC&guests=1
6,6,0,REX DUPLEX - Appartement dans le centre de Paris,Vous aurez le logement (appartement) rien que pour vous.,59€,59€,4 voyageurs,1 chambre,1 lit,1 salle de bain,"4,01",(81),1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,Afficher les 24 équipements,"Bienvenue au coeur du IXème arrondissement animé, dans un appartement calme et refait à neuf, idéal pour visiter Paris comme un local !

Le logement
Venez vivre au coeur du 9 ème arrondissement de Paris dans mon charmant duplex, en rez de chaussée sur Cour !
Refait à neuf, mais disposant du charme de l'ancien, il offre un logement idéal pour 4. Composé d'un espace cuisine, d'une partie séjour ainsi que d'une jolie chambre, et un autre espace nuit, il saura répondre à tous vos besoins pour votre séjour à Paris !

Derrière cet espace de vie, vous trouverez un espace cuisine avec tout l'équipement nécessaire pour cuisiner: plaques à induction, micro-ondes, machine à café à capsules, bouilloire, grille pain...
La salle de bain est située en enfilade et se compose d'une belle douche, de toilettes ainsi que d'une jolie vasque.
Vous y trouverez serviettes, savons et sèche cheveux.


A l'étage, vous trouverez un premier espace nuit avec un canapé lit et de l'espace de rangement, puis, derrière, une chambre avec lit double confortable et télévision.
Veuillez noter que les plafonds sont bas et que l'accès à la mezzanine se fait par un petit escalier.

Accès des voyageurs
Vous aurez accès à tout l'appartement.

Autres remarques
Connexion Wi-Fi gratuite

Numéro d'enregistrement
7510901696645",https://www.airbnb.fr/rooms/24959876/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208627_r%2FlZZAA0gUIqMHGv&guests=1
7,7,0,Eiffel Tower/Center of Paris/ Metro : Bir-Hakeim,Vous aurez le logement (appartement) rien que pour vous.,60€,60€,4 voyageurs,1 chambre,2 lits,1 salle de bain,"4,83",(269),1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,Afficher les 27 équipements,"Located in center of Paris. Subway: Tour Eiffel or Bir-Hakeim. Easily accessible to subway/metro/buses/bicycle rental. Supermarkets, Restaurants and cafés all on walking distance. - 333 sq.ft. /31m2 - 2nd floor elevator - Double paned windows - DSL Internet, Phone, TV. One queen size bed and a queen size SofaBed both in 160 * 200 cm. Bathroom with washing machine and toilet attached to bedroom. Fully equipped kitchen. For ""BAIL MOBILITE"", new type of furnished rental contract with min 30 days

Accès des voyageurs
Guests will have the entire apartment during their stay.

Autres remarques
You will receive a message on how to access the apartment closer to your arrival date. Upon arrival, please find a printed page with useful information about the apartment on the table. You can also find wifi codes in that page.

Numéro d'enregistrement
7511500721036",https://www.airbnb.fr/rooms/20588104/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208636_kReDP1fpxuBgwWur&guests=1
8,8,0,ODÉON-ST GERMAIN - SÉJOUR DE MOYENNE DURÉE,Vous aurez le logement (appartement) rien que pour vous.,99€,72€,5 voyageurs,2 chambres,2 lits,1 salle de bain,"4,33",(3),1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,Afficher les 31 équipements,"SÉJOURS DE MOYEN OU LONG TERME SEUELEMENT.
Lors de l'envoi d'une demande ou d'une demande de réservation, veuillez inclure autant de détails sur vous-même et les personnes avec lesquelles vous voyagez. Qui êtes vous? Comment gagnez-vous votre vie? Qu'est-ce qui vous amène en ville? Avez-vous lu les politiques strictes de flat et comptez-vous les respecter?
* N'oubliez pas qu'un dépôt de garantie de 800 € sera retenu pour couvrir les dommages, le non-respect des règles, la perte des clés, etc.

Numéro d'enregistrement
7510602504994",https://www.airbnb.fr/rooms/40867672/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208644_U7M6%2FMIXJ6RWoAN8&guests=1
9,9,0,Amazing price Arc de Triomphe (2065),Vous aurez le logement (appartement) rien que pour vous.,109€,65€,5 voyageurs,1 chambre,3 lits,1 salle de bain,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,Afficher les 33 équipements,"Élégant et confortable appartement parisien du XVIIème arrondissement.
A seulement quelques pas se trouve l'Arc de Triomphe, de l'Église de la Madeleine ou encore le parc Monceau ainsi que les fameuses "" Galeries Lafayette "".

Le logement
Totalement équipé, cet appartement peut accueillir jusqu'à 5 personnes.
Calme, agréable et confortable, il conviendra parfaitement à ce que vous cherchez.

L'appartement contient :
1 chambre avec un lit de taille Queen
1 salon avec un canapé convertible pour deux, ainsi qu' un fauteuil convertible en un lit pour une personne
1 salle de bain avec douche et WC
Les clients ont accès à tous les équipements de l'appartement.

Accès des voyageurs
Équipements :
- 1 chambre avec 1 lit pour 2 personnes(160 par 200)
- 1 belle salle de bain avec douche et toilettes
Une cuisine entièrement équipée : Four, lave-linge, Plaques vitrocéramique, Réfrigérateur, Bouilloire, Grille-pain, Une machine à café Nespresso, Assiettes, verres, couverts, casseroles et autres ustensiles de cuisine.
Un salon avec un confortable canapé convertible en lit pour 2 personnes (140 par 200) (vrai lit avec un matelas) et un fauteuil convertible avec un vrai matelas pour 1 personne.

- Des rangements, des cintres,
- Un fer et une table à repasser
- Un sèche-cheveux

Cet appartement est équipé d'un accès internet Wi-Fi haut débit illimité ainsi qu'une TV.

Autres remarques
Les draps et les serviettes sont fournis. Le ménage est assuré par un personnel professionnel à l'arrivée et au départ.

Si vous avez un enregistrement tardif, après 22h00, il vous sera demandé un supplément de 10 euros à remettre à la personne qui vous remettra les clés de l'appartement (20 euros après minuit)

Si vous souhaitez un lit bébé, une chaise haute pour bébé à votre disposition dans l'appartement, je vous remercie de me le rappeler au moins 48h avant votre arrivée.

Avant de quitter l'appartement, assurez-vous de ne pas laisser les clés dans la serrure car cela bloquerait l'ouverture de la porte de l'extérieur. Attention, si vous laissez les clefs de l'appartement sur la porte ou à l'intérieur de l'appartement, vous serez facturé de 100 €.

Aucun shooting photos, ni tournage ne sont acceptés en Réservation immédiate (ou directe), il vous faut ma pré-approbation au préalable (mon accord).

Numéro d'enregistrement
7 511 704 338 684",https://www.airbnb.fr/rooms/41039327/amenities?location=Paris&adults=2&children=2&check_in=2020-06-08&check_out=2020-06-14&source_impression_id=p3_1591208652_g2cEfmyd0DyeE%2BfL&guests=1
